Commit Sha;Date;Author;Referenced Ticket;Version;Committed Files
3902ae5a6;2013-02-09;AUTHOR=Sijie Guo;MES=BOOKKEEPER-556: BookieServerMXBean#getServerState makes no sense (ivank via sijie);4;3
3bcabc5ad;2013-02-12;AUTHOR=Sijie Guo;MES=BOOKKEEPER-554: fd leaking when move ledger index file (sijie, ivank via sijie);4;3
26731c770;2013-02-12;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-555: Make BookieServer use Netty rather than a custom IO server (ivank);4;11
5b7b6835c;2013-02-15;AUTHOR=Sijie Guo;MES=BOOKKEEPER-568: NPE during GC with HierarchicalLedgerManager (Matteo via sijie);4;2
cda181255;2013-02-16;AUTHOR=Flavio Paiva Junqueira;MES=BOOKKEEPER-569: Critical performance bug in InterleavedLedgerStorage (ivank via fpj);4;1
040a442be;2013-02-19;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-548: Document about periodic ledger checker configuration (ivank);4;1
f4d189431;2013-02-19;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-549: Documentation missed for readOnlyMode support (ivank);4;1
d40d38036;2013-02-19;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-567: ReadOnlyBookieTest hangs on shutdown (sijie via ivank);4;1
f31a366fa;2013-02-26;AUTHOR=Uma Maheswara Rao G;MES=BOOKKEEPER-574: Extend the bookkeeper shell to get a list of available bookies. Contributed by Ivan Kelly;4;3
ea5a13d74;2013-03-05;AUTHOR=Uma Maheswara Rao G;MES=BOOKKEEPER-559: Fix occasional failure in AuditorBookieTest. Contributed by Ivan Kelly.;4;1
94ea9a862;2013-03-08;AUTHOR=Ivan Brendan Kelly;MES=BOOKKEEPER-579: TestSubAfterCloseSub was put in a wrong package (sijie via ivank);4;1
1b7cb6fa9;2013-03-17;AUTHOR=Sijie Guo;MES=BOOKKEEPER-576: Bookie client should use netty Decoder/Encoder (ivank via sijie);4;7
9f0d2a3e2;2013-03-17;AUTHOR=Sijie Guo;MES= BOOKKEEPER-585: Auditor logs noisily when a ledger has been deleted (ivank via sijie);4;3
