Commit Sha;Date;Author;Referenced Ticket;Version;Committed Files
2bc256d801;2012-05-31;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-90] Applying provided patch;1;1
5ade8dbcc9;2012-06-06;AUTHOR=Fabio Martelli;MES=SYNCOPE-91 #comment added alternative wf path and activation test;1;4
70dfd086dc;2012-06-08;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-92] Release process page updated with instructions for archetype;1;0
1969e756c4;2012-06-08;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-92] Ok, only XSLT could save us: parent POM is now generated by an XSLT transformation, with correct Syncope version as input parameter;1;0
fcdf9425cb;2012-06-12;AUTHOR=Fabio Martelli;MES=SYNCOPE-94 #comment strange behavior from HttpClient: request is sent twice in case of BadCredentialExceptions;1;1
4746013662;2012-06-14;AUTHOR=Fabio Martelli;MES=SYNCOPE-95 #comment without any role users are considered to be all in the same role;1;2
29db8d4e6e;2012-06-20;AUTHOR=Fabio Martelli;MES=SYNCOPE-96 #comment preemptive authentication has been fixed;1;11
31ce4d9fdd;2012-06-20;AUTHOR=Fabio Martelli;MES=SYNCOPE-98 #comment fixed a selenium test;1;2
034b1aa521;2012-06-21;AUTHOR=Fabio Martelli;MES=SYNCOPE-97 #comment RestTemplate and HttpClientFactory with scope prototype;1;25
d5ca7e9a23;2012-06-21;AUTHOR=Fabio Martelli;MES=SYNCOPE-99 #comment recursive generation of NodCond used to fail;1;1
48a4129b15;2012-06-21;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-73] Staging site generation, promotion and rollback is now in;1;0
8e85c2ae4a;2012-06-27;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-101] Spurious .zip and .tar.gz were added when root POM wasn't extending Apache parent POM; now reverted to default behaviour + updated site docs (for next release onwards);1;0
87a9977960;2012-07-03;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-103] Aligning with latest HttpClient updates (Auth cache);1;2
0acf6a7f7f;2012-07-04;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-104] Applied provided patch;1;2
561ba1cd2e;2012-07-06;AUTHOR=Fabio Martelli;MES=SYNCOPE-106 #comment getStringValue method used to retrieve value as string;1;1
8b78e65b6c;2012-07-09;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-105] Making build-tools WebLogic compatible;1;0
e7c6b9d7ac;2012-07-10;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-105] Added specific 'weblogic-it' profile into core POM;1;0
f5a21661db;2012-07-10;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-107] Preliminary fix for Hibernate (@ElementCollection without @Column);1;1
fcbc8473b2;2012-07-10;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-105] Adapting archetype generation to persistence.xml -> spring-persistence.xml;1;0
86d7c111b8;2012-07-10;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-105] Making the admin console work in Weblogic;1;0
50fa171245;2012-07-11;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-107] Small adjustements;1;5
9af846542f;2012-07-13;AUTHOR=Fabio Martelli;MES=SYNCOPE-108 #comment delete about a resource removing will be propagate if and only if that resource is not be linked (directly or indirectly) to the user anymore;1;6
ce74792223;2012-07-13;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-109] Adding (temporary) JBossPersistenceMappingFactory;1;1
04c1a55d2a;2012-07-13;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-109] Removing unnecessary setup for JBoss profile;1;0
8948088ddc;2012-07-13;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-102] Preventing concurrent executions of the same report;1;2
2596621a12;2012-07-16;AUTHOR=Fabio Martelli;MES=SYNCOPE-111 #comment in case of membership add/remove just resources indirectly linked to it was used to be considered;1;4
66bfdf75f7;2012-07-17;AUTHOR=Fabio Martelli;MES=SYNCOPE-112 #comment modified connector bean creation + some selenium tests fixed;1;11
ae758caa60;2012-07-20;AUTHOR=Fabio Martelli;MES=SYNCOPE-113 #comment if at least one connector is available, in case of create a default connector is selected (the first one) so mappings can be added;1;3
7c8c6cba48;2012-07-20;AUTHOR=Fabio Martelli;MES=SYNCOPE-114 #comment forced focus on edit link;1;1
9e3ad215f6;2012-07-26;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-115] Setter method renamed to avoid ambiguities;1;1
08b92d5d83;2012-07-30;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-118] propagationTOs not to be shown in DisplayAttributesModalPage's window;1;2
49bf4b8f3d;2012-07-30;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-117] Moving PreferenceManager from 'raw' cookie management to Wicket's CookieUtils;1;4
e04fb9c837;2012-07-30;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-116] Reverting (part of) what done for SYNCOPE-54 - adding a boolean 'executed' field to NotificationTask for NotificationJob to be able to fetch only non-executed tasks;1;8
291fefdad5;2012-07-30;AUTHOR=Marco Di Sabatino Di Diodoro;MES=SYNCOPE-116 display execution task date on Task and Report list items;1;8
eb1bc9eceb;2012-08-13;AUTHOR=Marco Di Sabatino Di Diodoro;MES=Fixes SYNCOPE-148 Add cancel button for all modal windows;2;16
f7b46d67fb;2012-08-14;AUTHOR=Marco Di Sabatino Di Diodoro;MES=Fixes SYNCOPE-148 Add cancel button into Synchronization Tasks tab;2;2
945a21ed1a;2012-08-14;AUTHOR=Colm O Heigeartaigh;MES=[SYNCOPE-187] - When deleting an user, REST error doesn't bring error message to display;2;2
f95ad4f11d;2012-08-15;AUTHOR=Colm O Heigeartaigh;MES=[SYNCOPE-183] - 'Enforce mandatory constraints' not working;2;2
c3da29ad3e;2012-08-16;AUTHOR=Marco Di Sabatino Di Diodoro;MES=Fixes SYNCOPE-147 add refresh button in task and report modal windows;2;9
a193eb5d05;2012-08-17;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-79] Module hibernate-enhancer removed (and Javassist dependency as well);2;34
fb47a2e4b2;2012-08-17;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-79] Parent POM is root POM now: expecting failures from Jenkins and Sonar...;2;0
c2360bbe23;2012-08-17;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-79] Merging syncope-quality and build-tools;2;0
a97b396890;2012-08-21;AUTHOR=Marco Di Sabatino Di Diodoro;MES=Fixes SYNCOPE-189 Close Modal Window on keypress ESC;2;21
a434424daf;2012-08-27;AUTHOR=Colm O Heigeartaigh;MES=[SYNCOPE-188] - Upgrading to Wicket 1.5.8;2;0
966ed44510;2012-09-03;AUTHOR=Fabio Martelli;MES=Fixes issue SYNCOPE-51 and SYNCOPE-100 special thanks to Bob and Massimiliano;3;9
6bfba42541;2012-09-04;AUTHOR=Colm O Heigeartaigh;MES=[SYNCOPE-196] - Change Display Attributes button misaligned;3;0
9479176170;2012-09-05;AUTHOR=Colm O Heigeartaigh;MES=[SYNCOPE-197] - TaskModalPage Refresh button misaligned;3;1
85d7a181ca;2012-09-05;AUTHOR=Fabio Martelli;MES=Fixes SYNCOPE-201;3;1
a83b509f8a;2012-09-06;AUTHOR=Colm O Heigeartaigh;MES=[SYNCOPE-203] - Add OSGi support;3;0
28b391720d;2012-09-10;AUTHOR=Massimiliano Perrone;MES=[SYNCOPE-144] Patch applied;3;9
d5b62042b3;2012-09-21;AUTHOR=Massimiliano Perrone;MES=[SYNCOPE-134] reflection to use class fields in derived schema definition;3;6
b0fd21042d;2012-10-15;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-222] Extending AbstractAttributableDataBinder for checking mandatory conditions on derived and external attributes;5;22
2e74f5a0a9;2012-10-15;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-216] New conf parameter 'notificationjob.cronExpression' added; when not existing, NotificationJob runs according to Notification.DEFAULT_CRON_EXP; when provided as empty string, NotificationJob disabled; provided as non-empty string: NotificationJob runs according to the given value;5;3
3a6ebd3f21;2012-10-18;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-93] Upgraded to Quartz 2.1.6 with all needed API changes;5;10
80420a8e1e;2012-10-22;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-144] Now name is mandatory for SchedTask and SyncTask;5;7
49d7b31404;2012-10-22;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-186] Some preliminary refactoring and cleaning;5;2
3c24e217b8;2012-10-22;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-186] More preliminary refactoring and cleaning;5;2
bffc69fd55;2012-10-22;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-186] PropagationTaskExecutor (interface + default implementation) separated from PropagationManager;5;10
119e8aab47;2012-10-23;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-186] SyncopeSyncResultHanlder extracted from SyncJob + renaming;5;33
bec87170e4;2012-10-23;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-186] PropagationActions introduced, for executing custom actions before and after any PropagationTask execution;5;31
b0c333993e;2012-10-23;AUTHOR=Colm O Heigeartaigh;MES=[SYNCOPE-212] - Provide Validation Error message to user;5;6
580365ddbe;2012-10-23;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-130] The set of attributes to be sent over connector for update is now checked against the values returned from the same connector;5;3
8a30a9e77f;2012-10-24;AUTHOR=Francesco Chicchiriccò;MES=Using new PasswordGenerator from SYNCOPE-121 for generating policy-compliant random passwords during synchronization from external resources (if needed);5;2
e1ac1ee6fc;2012-10-25;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-225] All features implemented in core, now it's time to update the admin console;5;24
4b0f19fad6;2012-10-29;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-225] Updated admin console for managing role owner;5;29
208a28ad13;2012-10-30;AUTHOR=Colm O Heigeartaigh;MES=[SYNCOPE-221] - Let user explicitly choose to give value for AccountLink;5;4
2b3e3b88e7;2012-11-03;AUTHOR=Francesco Chicchiriccò;MES=Creating dev branch for SYNCOPE-171 and subtasks / related;5;0
9f733f56df;2012-11-05;AUTHOR=Fabio Martelli;MES=missing remove of an openjpa-all dependency about SYNCOPE-234;5;0
39681716c1;2012-11-11;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-172] Initial refactoring of original SchemaMapping into UMapping / RMapping;5;53
7afd1181f3;2012-11-12;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-173][SYNCOPE-219] Moving some classes to new packages as preparation for role-related workflow classes;5;25
ecbac0e8f2;2012-11-12;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-173][SYNCOPE-219] (Additional) Moving some classes to new packages as preparation for role-related workflow classes;5;6
e0f512ab88;2012-11-13;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-172][SYNCOPE-173] Introducing a basic noop role workflow and making the PropagationManager dealing with users and roles;5;33
4816f3ebb4;2012-11-14;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-172] First version with actual working propagation towards ApacheDS;5;37
ec42de11b3;2012-11-19;AUTHOR=Marco Di Sabatino Di Diodoro;MES=SYNCOPE-205 Upgrade to Apache Wicket 6.2.0;5;49
ca59ef9e22;2012-11-29;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-172][SYNCOPE-173] Role synchronization from external resources in place - needs more test and probably some cleaning + refactoring;5;95
9ed14eab89;2012-11-30;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-172] Adjusting SybcJob report for Roles;5;17
52583f13bd;2012-12-01;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-127] Virtual attributes fully working for roles;5;12
1fa007064a;2012-12-10;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-245] Applying provided patch;5;5
8be7cde6f6;2012-12-10;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-172] Add dedicated test for role synchronization (full reconciliation);5;3
b284182bae;2012-12-11;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-248] Applying provided patch;6;1
48a632da8b;2012-12-11;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-244] Implemented suggested approach, with system property 'syncope.console.configuration';6;0
b050f05696;2012-12-11;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-206] Reworking the provided patch;6;0
90d1967a2e;2012-12-12;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-250] Patch applied: thanks Christian!;6;1
f00d8e3c11;2012-12-12;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-206] Some improvements;6;0
bf0a93791e;2012-12-12;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-172] Small fixes;6;3
fb93f91e88;2012-12-13;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-254] Applying provided patch;6;0
9ff1880d12;2012-12-17;AUTHOR=Jean-Baptiste Onofre;MES=[SYNCOPE-242] Resolve dependency cycles between persistence and the rest of Syncope core;6;53
9798108e6a;2012-12-19;AUTHOR=Jean-Baptiste Onofre;MES=[SYNCOPE-242] Move SyncopeUserValidator back into validation.entity as it is referenced from the @SyncopeUserCheck annotation;6;7
2e75481428;2012-12-20;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-44] Role search working from admin console; some minor gotchas to fix on the core, though...;6;50
24c207a9a8;2012-12-21;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-44] Enhancing search: AttributableCond now with boolean and relationship fields support, EntitlementCond added;6;20
831bfcaf3b;2012-12-21;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-44] Enabling latest role search enhancements in the admin console;6;10
4f4ae61db0;2012-12-24;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-26] Added sample (but working) LDAPMembershipSyncActions;6;11
d2f727955b;2012-12-26;AUTHOR=Francesco Chicchiriccò;MES=[SYNCOPE-251] Various fixes and improvements: now adding CXF deps doesn't generate test failures;6;20
