Ticket ID;Date;Fixed Commits;Affected Versions
SYNCOPE-553;2014-09-29;2;2
SYNCOPE-551;2014-09-23;2;2
SYNCOPE-549;2014-09-16;2;2
SYNCOPE-548;2014-09-15;2;2
SYNCOPE-547;2014-09-15;7;2
SYNCOPE-545;2014-09-04;3;2
SYNCOPE-543;2014-08-27;4;3
SYNCOPE-540;2014-08-04;4;1
SYNCOPE-539;2014-07-30;2;1
SYNCOPE-532;2014-07-07;1;2
SYNCOPE-741;2015-12-09;1;2
SYNCOPE-739;2015-12-03;2;2
SYNCOPE-735;2015-11-25;3;2
SYNCOPE-729;2015-11-10;2;2
SYNCOPE-782;2016-03-19;1;1
SYNCOPE-780;2016-03-17;1;1
SYNCOPE-776;2016-03-14;1;1
SYNCOPE-775;2016-03-03;1;1
SYNCOPE-774;2016-03-03;1;1
SYNCOPE-762;2016-01-29;1;1
SYNCOPE-759;2016-01-21;1;1
SYNCOPE-758;2016-01-20;1;1
SYNCOPE-756;2016-01-04;1;1
SYNCOPE-730;2015-11-11;1;1
SYNCOPE-850;2016-05-12;1;1
SYNCOPE-849;2016-05-12;0;1
SYNCOPE-847;2016-05-11;1;1
SYNCOPE-846;2016-05-11;1;1
SYNCOPE-844;2016-05-11;1;1
SYNCOPE-840;2016-05-05;0;1
SYNCOPE-839;2016-05-03;1;1
SYNCOPE-837;2016-04-27;1;1
SYNCOPE-836;2016-04-22;1;1
SYNCOPE-825;2016-04-06;1;1
SYNCOPE-823;2016-04-05;1;1
SYNCOPE-817;2016-03-29;2;1
SYNCOPE-814;2016-03-24;2;1
SYNCOPE-813;2016-03-24;1;1
SYNCOPE-812;2016-03-24;2;1
SYNCOPE-811;2016-03-24;1;1
SYNCOPE-801;2016-03-23;1;1
SYNCOPE-800;2016-03-23;1;3
SYNCOPE-799;2016-03-22;2;1
SYNCOPE-798;2016-03-22;1;1
SYNCOPE-793;2016-03-22;1;1
SYNCOPE-792;2016-03-22;1;1
SYNCOPE-783;2016-03-21;1;1
SYNCOPE-781;2016-03-17;1;1
SYNCOPE-769;2016-02-18;1;3
SYNCOPE-768;2016-02-18;1;3
SYNCOPE-737;2015-12-01;1;1
SYNCOPE-875;2016-06-22;1;1
SYNCOPE-869;2016-06-07;1;1
SYNCOPE-868;2016-06-06;1;1
SYNCOPE-867;2016-06-06;1;1
SYNCOPE-865;2016-05-31;2;1
SYNCOPE-863;2016-05-26;1;1
SYNCOPE-845;2016-05-11;2;3
