Version;ClassName;Size;LOC_touched;NR;NFix;NAuth;LOC_added;MAX_LOC_added;AVG_LOC_added;Churn;MAX_Churn;AVG_Churn;ChgSetSize;MAX_ChgSet;AVG_ChgSet;Age;WeightedAge;Buggy
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/NIOServerFactoryTest.java;43;73;3;2;3;68;60;22.66;63;63;21.0;263;170;87.66;0;0.0;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java;78;151;6;6;2;127;101;21.16;103;103;17.16;294;170;49.0;0;0.0;Yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java;41;77;4;4;2;74;61;18.5;71;71;17.75;152;92;38.0;0;0.0;Yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieZKExpireTest.java;71;106;3;3;3;99;90;33.0;92;92;30.66;208;170;69.33;0;0.0;Yes
1;hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java;6226;18357;2;2;2;12362;6267;6181.0;6367;6367;3183.5;170;170;85.0;0;0.0;Yes
1;hedwig-server/src/test/java/org/apache/hedwig/server/TestPubSubServerStartup.java;101;137;3;3;2;133;128;44.33;129;129;43.0;263;170;87.66;0;0.0;Yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConditionalSetTest.java;73;126;3;3;2;122;116;40.66;118;118;39.33;137;92;45.66;0;0.0;Yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestProtoVersions.java;88;115;2;2;1;114;113;57.0;113;113;56.5;32;26;16.0;0;0.0;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java;393;1132;6;6;2;930;714;155.0;728;728;121.33;207;92;34.5;0;0.0;Yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCacheTest.java;108;193;4;4;2;166;131;41.5;139;139;34.75;178;92;44.5;0;0.0;Yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieJournalRollingTest.java;162;275;3;3;2;247;222;82.33;219;219;73.0;43;38;14.33;0;0.0;Yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java;444;841;5;5;2;729;400;145.8;617;617;123.4;191;92;38.2;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java;51;78;1;1;1;78;78;78.0;78;78;78.0;26;26;26.0;0;0.0;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java;262;351;3;3;1;348;343;116.0;345;345;115.0;67;38;22.33;0;0.0;Yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieLayoutVersionTest.java;227;321;3;3;1;291;246;97.0;261;261;87.0;42;38;14.0;0;0.0;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java;36;72;1;1;1;72;72;72.0;72;72;72.0;27;27;27.0;0;0.0;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java;9;42;1;1;1;42;42;42.0;42;42;42.0;27;27;27.0;0;0.0;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java;223;399;1;1;1;384;359;384.0;369;369;369.0;27;27;27.0;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java;47;107;2;2;1;106;61;53.0;105;105;52.5;70;38;35.0;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java;80;232;4;4;2;224;216;56.0;216;216;54.0;41;38;10.25;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java;178;417;4;4;2;397;377;99.25;377;377;94.25;41;38;10.25;0;0.0;Yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConfigurationTest.java;32;55;1;1;1;55;55;55.0;55;55;55.0;38;38;38.0;0;0.0;Yes
1;hedwig-server/src/test/java/org/apache/hedwig/server/topics/TestConcurrentTopicAcquisition.java;170;206;1;1;1;206;206;206.0;206;206;206.0;2;2;2.0;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java;163;257;2;2;1;255;251;127.5;253;253;126.5;35;32;17.5;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java;131;193;1;1;1;193;193;193.0;193;193;193.0;32;32;32.0;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java;357;514;1;1;1;514;514;514.0;514;514;514.0;32;32;32.0;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java;139;204;1;1;1;204;204;204.0;204;204;204.0;32;32;32.0;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java;34;144;1;1;1;144;144;144.0;144;144;144.0;32;32;32.0;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java;63;98;1;1;1;98;98;98.0;98;98;98.0;32;32;32.0;0;0.0;Yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java;48;94;1;1;1;94;94;94.0;94;94;94.0;32;32;32.0;0;0.0;Yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalAsyncLedgerOpsTest.java;24;47;1;1;1;47;47;47.0;47;47;47.0;32;32;32.0;0;0.0;Yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieFailureTest.java;24;47;1;1;1;47;47;47.0;47;47;47.0;32;32;32.0;0;0.0;Yes
